PolicyNumber,CustomerId,DateOfLoss,ClaimReceivedDate,ClaimCause,TotalPaidToDate,Deductible,County,State,EquipmentYear,PolicyEffectiveDate
P-2769-2022,5260,2022-09-02,2022-09-02,M&E-Irr,11966.87,1000,Thayer,NE,1982,2022-05-10
P-3912-2022,2385,2022-08-31,2022-09-07,Lightning-Irr,22397.82,1000,Chase,NE,1995,2022-08-01
P-5528-2022,3909,2022-08-30,2022-08-31,Collision-Irr,4333.1,1000,Fillmore,NE,0,2022-04-01
P-3555-2022,1011,2022-08-30,2022-09-07,Collision-Irr,3723.2,1000,Fillmore,NE,2014,2022-03-01
P-1076-2022,813,2022-08-29,2022-09-13,M&E-Irr,8041.9,1000,Ochiltree,TX,1996,2022-08-06
P-911-2022,2711,2022-08-28,2022-09-07,Lightning-Irr,5317.5,1000,Gosper,NE,1978,2022-06-07
P-4703-2022,2371,2022-08-27,2022-11-09,Lightning-Irr,1749.4,1000,Pawnee,KS,2013,2022-03-01
P-1872-2022,880,2022-08-27,2022-11-10,Lightning-Irr,5047,1000,Norton,KS,2001,2022-01-30
P-188-2022,4308,2022-08-27,2022-11-10,Lightning-Irr,10948,1000,Norton,KS,0,2022-01-20
P-852-2022,1472,2022-08-27,2023-01-24,Lightning-Irr,9350,1000,Graham,KS,1996,2022-04-21
P-4539-2022,3883,2022-08-26,2022-08-26,M&E-Irr,20106.86,1000,Keith,NE,0,2022-05-23
P-5610-2022,519,2022-08-25,2023-02-09,Lightning-Irr,4685,5000,Fillmore,NE,2008,2022-05-15
P-3931-2022,3892,2022-08-20,2022-09-14,Wind-Irr,1475.35,1000,Yuma,CO,0,2021-12-01
P-934-2022,711,2022-08-20,2022-11-21,Fire-Irr,4000.66,1000,Nuckolls,NE,1996,2022-03-24
P-1873-2022,4743,2022-08-18,2022-08-19,M&E-Irr,6496.65,1000,Cloud,KS,2013,2022-03-11
P-3431-2022,4539,2022-08-17,2022-08-17,M&E-Irr,41603.82,10000,Deuel,NE,1982,2022-02-18
P-4033-2022,2089,2022-08-17,2022-09-16,Collision-Irr,26931.79,1000,Saunders,NE,2011,2022-03-13
P-5480-2022,2308,2022-08-14,2022-08-15,Claim Withdrawn,0,1000,Garden,NE,2000,2021-12-11
P-5460-2022,1691,2022-08-13,2022-08-19,M&E-Irr,15793.6,5000,Sheridan,KS,1995,2022-03-16
P-3534-2022,1954,2022-08-13,2022-10-06,Collision-Irr,10874.14,1000,Floyd,TX,2006,2022-03-25
P-2467-2022,616,2022-08-12,2022-08-19,M&E-Irr,4587.71,1000,Phillips,KS,1994,2021-10-18
P-517-2022,3348,2022-08-11,2022-08-11,M&E-Irr,28356,1000,Mitchell,KS,2003,2022-03-06
P-568-2022,4159,2022-08-10,2022-08-15,Lightning-Irr,7962.5,10000,Lamb,TX,0,2022-03-24
P-2644-2022,5331,2022-08-10,2022-08-24,Collision-Irr,17925.37,1000,Perkins,NE,1996,2021-12-02
P-4770-2022,4344,2022-08-09,2022-08-10,M&E-Irr,84056,5000,Stevens,KS,1989,2022-05-20
P-5226-2022,1120,2022-08-09,2022-08-23,Collision-Irr,5357.91,1000,McPherson,KS,1994,2022-08-09
P-4309-2022,2155,2022-08-08,2022-08-08,M&E-Irr,16121.25,1000,Harvey,KS,2020,2022-05-25
P-3886-2022,4263,2022-08-08,2022-08-11,Collapse-Irr,17901.29,1000,Sedgwick,CO,2001,2022-06-30
P-4784-2022,2749,2022-08-08,2022-08-18,Collision-Irr,13865.7,1000,Sumter,SC,2013,2022-03-26
P-188-2022,4308,2022-08-08,2022-09-09,M&E-Irr,6575.26,1000,Norton,KS,0,2022-01-20
P-4631-2022,3280,2022-08-08,2022-10-10,Lightning-Irr,10413,5000,Holt,NE,1985,2022-07-15
P-1911-2022,1329,2022-08-07,2022-08-16,Lightning-Irr,1650.89,2500,Sumter,SC,2011,2022-05-03
P-3658-2022,2082,2022-08-07,2022-09-28,Collision-Irr,19416.67,2500,Sumter,SC,2011,2022-09-18
P-4700-2022,5150,2022-08-07,2022-10-10,Lightning-Irr,3185.72,2500,Lincoln,NE,1991,2022-04-07
P-2580-2022,1183,2022-08-06,2022-08-08,Collision-Irr,80513.9,1000,Ford,KS,1988,2022-05-26
P-2330-2022,1895,2022-08-06,2022-08-11,Wind-Irr,79000,1000,Adams,NE,1981,2022-06-04
P-2453-2022,722,2022-08-06,2022-08-11,Wind-Irr,21246.64,1000,Adams,NE,2007,2021-10-16
P-4384-2022,898,2022-08-04,2022-08-05,M&E-Irr,14786.88,1000,Dodge,NE,2012,2022-02-12
P-3641-2022,2493,2022-08-03,2022-08-04,Claim Withdrawn,0,5000,Colfax,NE,2000,2022-04-27
P-323-2022,142,2022-08-03,2022-08-25,Lightning-Irr,7274,1000,Sheridan,KS,2007,2022-01-05
P-2827-2022,2708,2022-08-02,2022-08-02,Lightning-Irr,17526.9,1000,Telfair,GA,1997,2022-04-26
P-525-2022,3713,2022-08-01,2022-12-16,Lightning-Irr,11544.05,1000,Custer,NE,0,2022-11-08
P-2037-2022,53,2022-07-31,2022-08-02,Collapse-Irr,12849.38,1000,Jefferson,NE,1996,2022-04-01
P-2051-2022,281,2022-07-30,2022-08-03,Collapse-Irr,15135.64,1000,Fillmore,NE,1997,2022-05-15
P-3515-2022,293,2022-07-29,2022-08-01,Collision-Irr,4777.12,1000,Telfair,GA,1997,2022-06-27
P-3975-2022,2425,2022-07-29,2022-08-02,Wind-Irr,41572,1000,Hemphill,TX,2006,2022-07-25
P-2427-2022,2403,2022-07-29,2022-08-12,Lightning-Irr,12200,1000,Jenkins,GA,0,2022-06-19
P-1781-2022,4734,2022-07-29,2022-08-17,Collision-Irr,14882.94,1000,Worth,GA,2020,2021-10-08
P-2126-2022,1482,2022-07-28,2022-08-02,M&E-Irr,4879.59,1000,Cuming,NE,1981,2022-01-20
P-3366-2022,3244,2022-07-27,2022-10-07,Collision-Irr,7705.54,1000,Webster,NE,1998,2022-05-05
P-1410-2022,1128,2022-07-26,2022-07-28,Wind-Irr,12206.56,1000,Fillmore,NE,1994,2022-07-01
P-1768-2022,4554,2022-07-26,2022-07-29,Wind-Irr,12276.45,1000,Bailey,TX,2001,2022-05-26
P-4033-2022,2089,2022-07-25,2022-08-05,Lightning-Irr,6058,1000,Saunders,NE,2011,2022-03-13
P-539-2022,2738,2022-07-24,2022-07-25,Claim Withdrawn,0,1000,Yuma,CO,0,2021-11-29
P-2152-2022,4939,2022-07-23,2022-07-25,Wind-Irr,68250,1000,Hall,NE,2008,2022-01-15
P-3781-2022,4154,2022-07-23,2022-07-25,M&E-Irr,22002.81,1000,New Madrid,MO,2000,2021-10-27
P-1425-2022,3038,2022-07-23,2022-08-15,Hail-Irr,2434.83,1000,Adams,NE,1998,2022-04-26
P-4158-2022,625,2022-07-22,2022-07-25,M&E-Irr,14397.16,1000,Polk,NE,1999,2021-07-27
P-4601-2022,2883,2022-07-22,2022-07-25,Wind-Irr,16323.61,1000,Sheridan,KS,1998,2022-03-17
P-145-2022,4236,2022-07-22,2022-08-04,Lightning-Irr,4180,2500,Hayes,NE,2014,2022-01-19
P-5143-2022,3904,2022-07-22,2022-08-10,Lightning-Irr,8268.73,1000,Perkins,NE,1994,2022-03-06
P-2755-2022,4746,2022-07-22,2022-08-23,Lightning-Irr,3494.03,1000,Graham,KS,2010,2022-06-08
P-2091-2022,4417,2022-07-21,2022-07-22,Lightning-Irr,16400,1000,Davison,SD,2022,2022-01-09
P-56-2022,2176,2022-07-21,2022-07-22,Wind-Irr,19148.45,1000,Lincoln,NE,2002,2022-03-26
P-1884-2022,2433,2022-07-21,2022-07-28,M&E-Irr,17691.44,1000,Sheridan,KS,1998,2021-12-31
P-5089-2022,781,2022-07-21,2022-09-23,Lightning-Irr,18136.64,1000,Custer,NE,1975,2022-04-01
P-5554-2022,1990,2022-07-20,2022-07-25,M&E-Irr,22177.67,1000,Lincoln,NE,2009,2022-04-15
P-2604-2022,5217,2022-07-20,2022-08-09,M&E-Irr,8963.88,1000,Moore,TX,2021,2022-04-23
P-3021-2022,1981,2022-07-20,2022-09-15,Collision-Irr,27159.33,2500,Holt,MO,2014,2022-05-17
P-5092-2022,2315,2022-07-19,2022-08-10,Lightning-Irr,3596.68,2500,Hall,NE,2013,2022-02-01
P-1077-2022,21,2022-07-18,2022-07-19,M&E-Irr,21085.84,1000,Yuma,CO,0,2021-08-15
P-449-2022,4592,2022-07-18,2022-07-20,M&E-Irr,38603,1000,Fillmore,NE,1999,2022-04-01
P-4033-2022,2089,2022-07-18,2022-08-10,Claim Denied,0,1000,Saunders,NE,1999,2022-03-13
P-2611-2022,4722,2022-07-18,2022-08-12,Lightning-Irr,3557.14,1000,Cheyenne,NE,1996,2022-05-01
P-5478-2022,4285,2022-07-16,2022-07-18,M&E-Irr,45034.07,5000,Madison,NE,2001,2022-03-10
P-544-2022,3711,2022-07-16,2022-07-18,Lightning-Irr,16075,1000,Otter Tail,MN,1993,2022-04-19
P-3313-2022,3973,2022-07-15,2022-07-15,Theft-Irr,18524.56,1000,Hall,NE,2006,2022-04-01
P-3550-2022,5306,2022-07-15,2022-07-18,M&E-Irr,8920.54,1000,Hodgeman,KS,2011,2022-05-24
P-4829-2022,393,2022-07-15,2022-08-01,Claim Denied,0,1000,Harvey,KS,2015,2022-01-29
P-3473-2022,3381,2022-07-12,2022-07-13,Wind-Irr,13897.78,1000,Lamb,TX,1993,2022-01-21
P-3457-2022,4981,2022-07-12,2022-07-15,Lightning-Irr,4607.5,1000,Graham,KS,0,2022-01-16
P-3775-2022,4588,2022-07-11,2022-08-17,Collision-Irr,15899.07,1000,Pawnee,KS,2021,2021-09-07
P-911-2022,2711,2022-07-11,2022-09-14,Collision-Irr,2985.54,1000,Gosper,NE,1984,2022-06-07
P-4755-2022,368,2022-07-11,2022-12-28,Lightning-Irr,11539.84,1000,Pierce,NE,1975,2022-06-23
P-4178-2022,3743,2022-07-10,2022-07-13,Lightning-Irr,7494.46,2500,Yuma,CO,1992,2022-05-29
P-3219-2022,4208,2022-07-10,2022-07-18,Lightning-Irr,5890.8,1000,Chase,NE,1998,2022-02-06
P-2621-2022,3703,2022-07-10,2022-11-08,Claim Denied,0,1000,Stanton,NE,0,2022-03-11
P-3203-2022,1811,2022-07-08,2022-07-29,M&E-Irr,16722.92,1000,Sheridan,KS,1988,2021-09-22
P-5457-2022,3752,2022-07-07,2022-07-26,Wind-Irr,5260.99,1000,Richardson,NE,1985,2022-07-09
P-1869-2022,328,2022-07-06,2022-07-07,Lightning-Irr,12550.34,1000,Edwards,KS,2014,2022-02-28
P-1934-2022,622,2022-07-06,2022-08-12,Lightning-Irr,3578.54,1000,Stafford,KS,2001,2021-08-20
P-3658-2022,2082,2022-07-06,2022-09-28,Collision-Irr,15825.84,2500,Sumter,SC,2004,2022-09-18
P-1466-2022,1320,2022-07-05,2022-07-06,Wind-Irr,70675,5000,Lea,NM,2003,2022-02-17
P-1206-2022,4706,2022-07-05,2022-07-07,Claim Denied,0,2500,null,null,null,2022-07-05
P-4986-2022,1284,2022-07-05,2022-09-12,Wind-Irr,6314.65,1000,Seward,KS,1981,2022-08-24
P-3039-2022,3872,2022-07-04,2022-07-05,Wind-Irr,92953.24,1000,Haskell,TX,2000,2022-07-04
P-2576-2022,1063,2022-07-04,2022-07-07,Wind-Irr,3610.66,5000,Polk,NE,2003,2021-12-08
P-658-2022,2704,2022-07-03,2022-07-05,Wind-Irr,18117.58,1000,Frontier,NE,1995,2022-05-11
P-3370-2022,4764,2022-07-03,2022-11-22,Lightning-Irr,8846.17,1000,Custer,NE,0,2022-05-23
P-983-2022,3371,2022-07-01,2022-07-07,Lightning-Irr,12481.14,1000,Lincoln,NE,2003,2022-04-29
P-750-2022,410,2022-07-01,2022-08-25,Wind-Irr,2154.92,1000,Lamb,TX,2003,2022-03-08
P-392-2022,918,2022-07-01,2022-09-09,Lightning-Irr,4184.72,1000,Sheridan,KS,2019,2022-06-30
P-4791-2022,3744,2022-06-30,2022-07-05,Wind-Irr,18287.67,1000,Nuckolls,NE,0,2022-06-01
P-5015-2022,1650,2022-06-29,2022-07-01,Lightning-Irr,9941.86,1000,Sedgwick,CO,0,2022-03-22
P-406-2022,2714,2022-06-29,2022-07-08,Lightning-Irr,7200,2500,Grant,MN,2017,2022-03-01
P-2416-2022,4644,2022-06-27,2022-07-05,Claim Withdrawn,0,1000,Dawson,NE,1991,2022-03-15
P-3366-2022,3244,2022-06-26,2022-10-07,Collapse-Irr,13864.28,1000,Nuckolls,NE,1993,2022-05-05
P-3879-2022,5347,2022-06-25,2022-06-28,Wind-Irr,15531.67,2500,Knox,NE,1997,2022-02-21
P-873-2022,1860,2022-06-24,2022-06-30,Wind-Irr,45791.81,10000,Maricopa,AZ,2012,2021-07-20
P-5528-2022,3909,2022-06-24,2022-06-27,Collision-Irr,3020.15,1000,Fillmore,NE,0,2022-04-01
P-984-2022,4392,2022-06-24,2022-06-28,Wind-Irr,15258.16,1000,Clay,NE,2008,2022-03-14
P-4114-2022,908,2022-06-23,2022-07-06,Lightning-Irr,9480.6,1000,Boone,NE,2017,2022-02-13
P-112-2022,3164,2022-06-22,2022-06-28,Wind-Irr,9081.13,2500,Harvey,KS,1998,2022-02-28
P-2602-2022,5236,2022-06-22,2022-10-26,Wind-Irr,13409.65,10000,Dyer,TN,2017,2022-03-31
P-5026-2022,2864,2022-06-21,2022-06-22,M&E-Irr,12128,1000,Jewell,KS,2020,2022-05-27
P-5269-2022,2614,2022-06-21,2022-07-19,Lightning-Irr,9024.53,1000,Reno,KS,2002,2022-05-06
P-4136-2022,2440,2022-06-20,2022-06-21,Wind-Irr,74900,1000,Holt,NE,1980,2022-05-09
P-2887-2022,3000,2022-06-16,2022-06-17,Wind-Irr,27476.46,5000,Darlington,SC,1999,2022-03-20
P-2241-2022,5255,2022-06-16,2022-06-23,Flood-Irr,76500,2500,Hansford,TX,1980,2021-07-01
P-1050-2022,2279,2022-06-15,2022-06-15,Wind-Irr,83350,1000,York,NE,1992,2021-09-20
P-2298-2022,3967,2022-06-15,2022-06-15,Wind-Irr,365057.45,1000,York,NE,1982,2022-01-25
P-4604-2022,4916,2022-06-15,2022-06-15,Wind-Irr,351166,1000,York,NE,2014,2021-12-06
P-2838-2022,4220,2022-06-15,2022-06-15,Wind-Irr,64699.62,1000,Clay,NE,1999,2022-04-05
P-4552-2022,4273,2022-06-15,2022-06-16,Wind-Irr,162940,1000,York,NE,2001,2021-09-01
P-2499-2022,4052,2022-06-15,2022-06-17,Wind-Irr,105000,1000,Clay,NE,1999,2022-06-03
P-2882-2022,3375,2022-06-15,2022-06-17,Wind-Irr,6494.88,1000,Pemiscot,MO,2008,2021-11-20
P-5365-2022,5211,2022-06-15,2022-06-17,Lightning-Irr,16691.7,1000,Lincoln,NE,2022,2021-09-28
P-767-2022,3470,2022-06-15,2022-06-17,Wind-Irr,104000,1000,York,NE,1990,2022-01-25
P-587-2022,3454,2022-06-15,2022-06-17,Wind-Irr,5758.81,1000,Clay,NE,1985,2021-12-31
P-3929-2022,4609,2022-06-15,2022-06-21,Wind-Irr,23032,1000,Clay,NE,1974,2021-12-21
P-449-2022,4592,2022-06-15,2022-06-21,Wind-Irr,350709.23,1000,Clay,NE,1984,2022-04-01
P-2236-2022,2567,2022-06-15,2022-06-22,Claim Withdrawn,0,1000,Hamilton,NE,2014,2021-12-08
P-5231-2022,3055,2022-06-15,2022-06-23,Wind-Irr,128760,1000,Clay,NE,2008,2022-03-19
P-2458-2022,3421,2022-06-15,2022-06-27,Claim Withdrawn,0,1000,York,NE,2010,2021-12-30
P-4112-2022,354,2022-06-15,2022-06-29,Hail-Irr,24336.72,10000,Hamilton,NE,0,2022-03-25
P-3051-2022,1563,2022-06-15,2022-07-01,Claim Withdrawn,0,1000,York,NE,1981,2022-06-03
P-2073-2022,2394,2022-06-15,2022-07-20,Wind-Irr,8489.7,1000,York,NE,1990,2022-06-27
P-3342-2022,3376,2022-06-14,2022-06-15,Wind-Irr,170482,1000,York,NE,2008,2022-01-24
P-2475-2022,5139,2022-06-14,2022-06-15,Wind-Irr,90000,1000,York,NE,1990,2022-05-11
P-2937-2022,2014,2022-06-14,2022-06-15,Wind-Irr,153090,1000,Clay,NE,2021,2022-02-21
P-4673-2022,1198,2022-06-14,2022-06-16,Wind-Irr,24549.52,1000,Adams,NE,1977,2021-06-25
P-984-2022,4392,2022-06-14,2022-06-16,Wind-Irr,18440.81,1000,Clay,NE,2015,2022-03-14
P-4633-2022,2630,2022-06-14,2022-06-17,Wind-Irr,223000,1000,York,NE,2006,2021-10-20
P-2678-2022,816,2022-06-14,2022-06-17,Wind-Irr,77990,1000,York,NE,1987,2022-04-19
P-3776-2022,1432,2022-06-14,2022-06-17,Hail-Irr,36248.55,1000,York,NE,2000,2021-12-30
P-1826-2022,535,2022-06-14,2022-06-22,Hail-Irr,7387.31,1000,York,NE,2004,2021-08-03
P-3382-2022,5299,2022-06-14,2022-06-28,Lightning-Irr,3851.61,5000,Yuma,CO,2002,2022-05-10
P-3930-2022,3765,2022-06-14,2022-07-06,Wind-Irr,157000,5000,York,NE,2022,2022-05-18
P-2462-2022,1490,2022-06-14,2022-07-14,Lightning-Irr,2234.58,1000,Buffalo,NE,2013,2021-11-01
P-3111-2022,3145,2022-06-14,2022-09-29,Hail-Irr,7039.71,1000,York,NE,1999,2022-05-16
P-913-2022,3697,2022-06-13,2022-06-13,Wind-Irr,36766.75,2500,Marshall,KS,0,2022-06-06
P-739-2022,2781,2022-06-13,2022-06-14,Wind-Irr,37137.36,1000,Lamb,TX,1984,2022-04-10
P-986-2022,372,2022-06-13,2022-06-16,Flood-Irr,39097,5000,Park,MT,2004,2022-01-01
P-3214-2022,2713,2022-06-13,2022-06-16,Flood-Irr,27048,1000,Park,MT,0,2021-12-15
P-342-2022,1939,2022-06-13,2022-07-01,Lightning-Irr,10223.65,1000,Stevens,KS,1995,2022-04-24
P-4986-2022,1284,2022-06-13,2022-09-12,Wind-Irr,17075.02,1000,Seward,KS,2003,2022-08-24
P-3493-2022,2282,2022-06-11,2022-06-13,Wind-Irr,425785.81,1000,Marshall,KS,2016,2022-04-13
P-3211-2022,2299,2022-06-11,2022-06-22,Wind-Irr,46278,1000,Butte,SD,2016,2021-07-16
P-3493-2022,2282,2022-06-10,2022-06-10,Wind-Irr,215623.34,1000,Marshall,KS,2020,2022-04-13
P-3968-2022,3700,2022-06-10,2022-06-13,Wind-Irr,25155.65,1000,Cochran,TX,2007,2022-02-23
P-2631-2022,1962,2022-06-08,2022-06-09,Wind-Irr,96575,1000,Hall,TX,2017,2022-03-20
P-4397-2022,3506,2022-06-07,2022-06-07,Wind-Irr,39978,1000,Kearney,NE,2021,2021-07-22
P-1802-2022,2832,2022-06-07,2022-06-08,Wind-Irr,118957.56,1000,York,NE,1997,2021-10-21
P-3493-2022,2282,2022-06-07,2022-06-08,Wind-Irr,103436.03,1000,Marshall,KS,2020,2022-04-13
P-3789-2022,2319,2022-06-07,2022-06-08,Wind-Irr,101840,1000,Hamilton,NE,0,2021-06-24
P-312-2022,832,2022-06-07,2022-06-08,Wind-Irr,42631.4,1000,Hamilton,NE,2003,2021-11-20
P-5614-2022,3618,2022-06-07,2022-06-09,Wind-Irr,91400,10000,Caddo,OK,2000,2021-12-20
P-4845-2022,690,2022-06-07,2022-06-09,Wind-Irr,52250,1000,Norton,KS,1994,2021-09-01
P-1791-2022,4275,2022-06-07,2022-06-09,Wind-Irr,69000,1000,Hamilton,NE,1986,2021-06-22
P-1127-2022,4701,2022-06-07,2022-06-09,Wind-Irr,66150,1000,Thayer,NE,1979,2021-06-22
P-1062-2022,2501,2022-06-07,2022-06-09,Wind-Irr,150000,2500,Adams,NE,2022,2022-02-01
P-2948-2022,2579,2022-06-07,2022-06-09,Wind-Irr,69649.64,2500,Hall,NE,1997,2021-06-23
P-449-2022,4592,2022-06-07,2022-06-09,Wind-Irr,20320.97,1000,Clay,NE,2014,2022-04-01
P-3553-2022,3192,2022-06-07,2022-06-10,Wind-Irr,141720,1000,Fillmore,NE,2014,2022-05-08
P-2405-2022,3062,2022-06-07,2022-06-09,Lightning-Irr,2135.41,1000,Keith,NE,2015,2022-05-08
P-4739-2022,3822,2022-06-07,2022-06-13,Hail-Irr,7224.83,1000,Custer,NE,1978,2021-11-23
P-2475-2022,5139,2022-06-07,2022-06-13,Claim Withdrawn,0,1000,York,NE,2008,2022-05-11
P-2298-2022,3967,2022-06-07,2022-06-13,Claim Withdrawn,0,1000,York,NE,0,2022-01-25
P-3052-2022,612,2022-06-07,2022-06-14,Wind-Irr,90524.91,1000,Hamilton,NE,2010,2022-01-01
P-5207-2022,2377,2022-06-07,2022-06-14,Claim Withdrawn,0,1000,Buffalo,NE,1980,2022-03-06
P-5221-2022,1882,2022-06-07,2022-06-16,Hail-Irr,2231.9,1000,Sherman,NE,1982,2022-01-24
P-2194-2022,726,2022-06-07,2022-06-16,Claim Withdrawn,0,5000,Hall,NE,0,2022-01-26
P-3757-2022,1030,2022-06-07,2022-06-17,Hail-Irr,2488.25,2500,Sherman,NE,0,2022-03-29
P-496-2022,199,2022-06-07,2022-06-21,Hail-Irr,32983.93,1000,Buffalo,NE,1978,2021-11-20
P-639-2022,3036,2022-06-07,2022-06-21,Hail-Irr,2335.02,1000,Sherman,NE,0,2022-05-07
P-2963-2022,2361,2022-06-07,2022-06-21,Hail-Irr,6498.89,1000,Sherman,NE,2000,2021-12-01
P-5584-2022,2184,2022-06-07,2022-07-06,Hail-Irr,8235.47,2500,Buffalo,NE,2000,2022-03-01
P-2498-2022,1309,2022-06-07,2022-07-14,Hail-Irr,2948.36,1000,Custer,NE,2006,2022-04-27
P-362-2022,1518,2022-06-07,2022-08-11,Hail-Irr,4663.95,1000,Sherman,NE,1981,2022-08-05
P-4903-2022,4281,2022-06-07,2022-08-31,Wind-Irr,2130.74,1000,Lancaster,NE,2000,2022-06-09
P-3930-2022,3765,2022-06-07,2022-09-14,Hail-Irr,16505.36,5000,York,NE,1994,2022-05-18
P-4598-2022,1051,2022-06-07,2022-10-07,Hail-Irr,2353,1000,York,NE,2017,2022-04-12
